date,RRP,holiday
2015-07-05,24.00328983,N
2015-07-06,36.04178884,N
2015-07-07,37.29751745,N
2015-07-08,40.58380685,N
2015-07-09,38.51727354,N
2015-07-10,32.28845537,N
2015-07-11,30.62181991,N
2015-07-12,33.15211905,N
2015-07-13,47.52630153,N
2015-07-14,45.25558281,N
2015-07-15,50.4974182,N
2015-07-16,40.47170764,N
2015-07-17,49.21850696,N
2015-07-18,44.09776708,N
2015-07-19,43.57342248,N
2015-07-20,41.79671269,N
2015-07-21,28.89548968,N
2015-07-22,33.70727752,N
2015-07-23,33.97518484,N
2015-07-24,27.6698245,N
2015-07-25,22.2391885,N
2015-07-26,22.38424622,N
2015-07-27,35.17621745,N
2015-07-28,40.75298793,N
2015-07-29,37.23752124,N
2015-07-30,29.12283736,N
2015-07-31,35.05977109,N
2015-08-01,29.88013959,N
2015-08-02,23.37418658,N
2015-08-03,38.12797815,N
2015-08-04,44.67333638,N
2015-08-05,42.5957224,N
2015-08-06,48.94517285,N
2015-08-07,42.78284919,N
2015-08-08,39.11605998,N
2015-08-09,29.44132945,N
2015-08-10,30.09105237,N
2015-08-11,31.94331353,N
2015-08-12,37.33841387,N
2015-08-13,36.73054058,N
2015-08-14,35.43773739,N
2015-08-15,34.08615436,N
2015-08-16,25.31764941,N
2015-08-17,31.79373023,N
2015-08-18,45.28668706,N
2015-08-19,39.23515304,N
2015-08-20,30.54500061,N
2015-08-21,38.88847204,N
2015-08-22,32.23832167,N
2015-08-23,29.44134872,N
2015-08-24,26.61266289,N
2015-08-25,28.80467771,N
2015-08-26,37.13177468,N
2015-08-27,41.60533545,N
2015-08-28,38.17912007,N
2015-08-29,35.47451361,N
2015-08-30,42.41417956,N
2015-08-31,50.27328749,N
2015-09-01,50.14578439,N
2015-09-02,49.03831254,N
2015-09-03,45.54626467,N
2015-09-04,65.73690671,N
2015-09-05,57.1775692,N
2015-09-06,40.58176552,N
2015-09-07,38.52697878,N
2015-09-08,41.71038161,N
2015-09-09,48.12810484,N
2015-09-10,48.91956662,N
2015-09-11,36.08846518,N
2015-09-12,37.65455156,N
2015-09-13,30.35960587,N
2015-09-14,32.34565421,N
2015-09-15,34.50652241,N
2015-09-16,38.96606247,N
2015-09-17,40.63926437,N
2015-09-18,40.63008102,N
2015-09-19,47.82671203,N
2015-09-20,32.85772784,N
2015-09-21,44.95597741,N
2015-09-22,99.47616671,N
2015-09-23,49.76861067,N
2015-09-24,54.98052681,N
2015-09-25,51.08100179,N
2015-09-26,48.78936994,N
2015-09-27,43.93161371,N
2015-09-28,42.02601538,N
2015-09-29,37.64010125,N
2015-09-30,41.98096898,N
2015-10-01,34.80976299,N
2015-10-02,38.30698393,Y
2015-10-03,30.78069241,N
2015-10-04,36.56069849,N
2015-10-05,38.97200519,N
2015-10-06,36.24445144,N
2015-10-07,31.59640663,N
2015-10-08,36.14098237,N
2015-10-09,41.41507492,N
2015-10-10,34.80317686,N
2015-10-11,29.90281083,N
2015-10-12,36.35362381,N
2015-10-13,41.49816809,N
2015-10-14,45.5634402,N
2015-10-15,39.06694868,N
2015-10-16,43.80436083,N
2015-10-17,29.67361006,N
2015-10-18,29.12086757,N
2015-10-19,43.51067632,N
2015-10-20,43.3328692,N
2015-10-21,39.68189403,N
2015-10-22,44.03304646,N
2015-10-23,48.1698968,N
2015-10-24,32.19205197,N
2015-10-25,17.4659695,N
2015-10-26,29.39851628,N
2015-10-27,31.32939962,N
2015-10-28,39.51380992,N
2015-10-29,62.32012828,N
2015-10-30,35.87555035,N
2015-10-31,18.37479011,N
2015-11-01,14.68483973,N
2015-11-02,25.01784896,N
2015-11-03,14.15794771,Y
2015-11-04,29.23763309,N
2015-11-05,34.57679076,N
2015-11-06,30.64286687,N
2015-11-07,18.27265483,N
2015-11-08,21.09536038,N
2015-11-09,35.05480023,N
2015-11-10,32.06707648,N
2015-11-11,35.22410385,N
2015-11-12,38.48525874,N
2015-11-13,32.82309665,N
2015-11-14,33.56093861,N
2015-11-15,28.29807106,N
2015-11-16,39.12737374,N
2015-11-17,36.02454725,N
2015-11-18,60.68023827,N
2015-11-19,78.29096807,N
2015-11-20,38.02649768,N
2015-11-21,27.41362241,N
2015-11-22,32.34590077,N
2015-11-23,41.36877245,N
2015-11-24,48.52152976,N
2015-11-25,60.69203392,N
2015-11-26,30.49417411,N
2015-11-27,40.36654546,N
2015-11-28,43.32666084,N
2015-11-29,39.12126473,N
2015-11-30,45.57726057,N
2015-12-01,37.92095899,N
2015-12-02,37.4708208,N
2015-12-03,43.34422421,N
2015-12-04,66.53389405,N
2015-12-05,36.90686862,N
2015-12-06,36.78833221,N
2015-12-07,53.36909872,N
2015-12-08,57.53424668,N
2015-12-09,49.73700573,N
2015-12-10,50.80601367,N
2015-12-11,32.02012919,N
2015-12-12,34.14289792,N
2015-12-13,40.30682955,N
2015-12-14,51.74782952,N
2015-12-15,51.66083017,N
2015-12-16,78.64591999,N
2015-12-17,188.0861252,N
2015-12-18,81.19248625,N
2015-12-19,69.32882082,N
2015-12-20,54.64980429,N
2015-12-21,49.62125192,N
2015-12-22,37.53130427,N
2015-12-23,39.13822083,N
2015-12-24,50.81827517,N
2015-12-25,22.11558624,Y
2015-12-26,14.96710809,Y
2015-12-27,19.82318359,N
2015-12-28,20.09753992,Y
2015-12-29,27.33170157,N
2015-12-30,43.82687479,N
2015-12-31,101.9915588,N
2016-01-01,32.52767336,Y
2016-01-02,21.89456076,N
2016-01-03,19.8953848,N
2016-01-04,25.44347924,N
2016-01-05,29.91718737,N
2016-01-06,31.79025205,N
2016-01-07,34.44506917,N
2016-01-08,36.88815616,N
2016-01-09,41.98782325,N
2016-01-10,44.47978703,N
2016-01-11,88.11610079,N
2016-01-12,62.53997502,N
2016-01-13,545.7378196,N
2016-01-14,36.37140419,N
2016-01-15,30.20390307,N
2016-01-16,23.67497011,N
2016-01-17,29.15326195,N
2016-01-18,43.40935802,N
2016-01-19,49.25793525,N
2016-01-20,53.30039877,N
2016-01-21,55.47008954,N
2016-01-22,42.33773277,N
2016-01-23,26.97502333,N
2016-01-24,26.41220907,N
2016-01-25,27.59659014,N
2016-01-26,25.27669394,Y
2016-01-27,32.75984945,N
2016-01-28,33.32496816,N
2016-01-29,32.69384721,N
2016-01-30,23.84687233,N
2016-01-31,23.47662571,N
2016-02-01,31.58876665,N
2016-02-02,35.64081616,N
2016-02-03,27.87604398,N
2016-02-04,22.3923782,N
2016-02-05,26.8545022,N
2016-02-06,28.72453436,N
2016-02-07,33.49284634,N
2016-02-08,33.9086031,N
2016-02-09,38.70567585,N
2016-02-10,41.37607962,N
2016-02-11,34.38993372,N
2016-02-12,40.62665069,N
2016-02-13,32.23139796,N
2016-02-14,26.26726968,N
2016-02-15,32.56207053,N
2016-02-16,29.58535343,N
2016-02-17,32.50451406,N
2016-02-18,47.40430914,N
2016-02-19,43.69489681,N
2016-02-20,26.30452433,N
2016-02-21,24.60568176,N
2016-02-22,55.28023145,N
2016-02-23,66.96065647,N
2016-02-24,72.24069994,N
2016-02-25,43.38678606,N
2016-02-26,35.55254287,N
2016-02-27,32.10570563,N
2016-02-28,30.39844268,N
2016-02-29,41.25807901,N
2016-03-01,96.28761922,N
2016-03-02,53.91107114,N
2016-03-03,49.55216251,N
2016-03-04,43.22741726,N
2016-03-05,37.4253858,N
2016-03-06,41.3206478,N
2016-03-07,41.14950256,N
2016-03-08,253.0320323,N
2016-03-09,66.41160339,N
2016-03-10,46.52161235,N
2016-03-11,49.79353314,N
2016-03-12,37.32101386,N
2016-03-13,30.0869621,N
2016-03-14,24.79442999,Y
2016-03-15,28.46012769,N
2016-03-16,54.35305581,N
2016-03-17,49.4911015,N
2016-03-18,33.97202362,N
2016-03-19,48.71748998,N
2016-03-20,47.17506412,N
2016-03-21,49.67654935,N
2016-03-22,56.87274821,N
2016-03-23,44.26219138,N
2016-03-24,42.35494432,N
2016-03-25,30.22185548,Y
2016-03-26,30.53949743,Y
2016-03-27,25.86103521,Y
2016-03-28,27.58617697,Y
2016-03-29,31.07095135,N
2016-03-30,29.06251382,N
2016-03-31,21.90202897,N
2016-04-01,14.49079665,N
2016-04-02,13.56898646,N
2016-04-03,15.80399954,N
2016-04-04,38.46855031,N
2016-04-05,21.42320815,N
2016-04-06,45.52080455,N
2016-04-07,52.13196852,N
2016-04-08,75.35781074,N
2016-04-09,73.13914453,N
2016-04-10,35.12054575,N
2016-04-11,62.30651081,N
2016-04-12,62.9645525,N
2016-04-13,77.21022318,N
2016-04-14,92.92520704,N
2016-04-15,81.71784794,N
2016-04-16,51.52896856,N
2016-04-17,39.12944308,N
2016-04-18,61.62911492,N
2016-04-19,54.57119179,N
2016-04-20,40.0536623,N
2016-04-21,55.74046858,N
2016-04-22,52.29655518,N
2016-04-23,36.7345262,N
2016-04-24,30.68045485,N
2016-04-25,39.08786122,Y
2016-04-26,56.43641514,N
2016-04-27,19.4111381,N
2016-04-28,60.58197893,N
2016-04-29,51.74834177,N
2016-04-30,27.10790618,N
2016-05-01,31.87421762,N
2016-05-02,37.34851758,N
2016-05-03,22.24291908,N
2016-05-04,47.7538426,N
2016-05-05,27.23225297,N
2016-05-06,64.31705658,N
2016-05-07,46.62702428,N
2016-05-08,59.14011232,N
2016-05-09,100.8140427,N
2016-05-10,36.9801066,N
2016-05-11,59.84988166,N
2016-05-12,53.79609684,N
2016-05-13,52.36555156,N
2016-05-14,28.27876737,N
2016-05-15,37.07654106,N
2016-05-16,41.91676316,N
2016-05-17,68.33332655,N
2016-05-18,70.58882764,N
2016-05-19,44.40335829,N
2016-05-20,79.7959074,N
2016-05-21,45.74527142,N
2016-05-22,24.19265246,N
2016-05-23,10.80151908,N
2016-05-24,45.21384715,N
2016-05-25,66.25853483,N
2016-05-26,99.42483313,N
2016-05-27,68.19342854,N
2016-05-28,81.99013458,N
2016-05-29,68.71547404,N
2016-05-30,115.7846736,N
2016-05-31,156.4647226,N
2016-06-01,168.8527592,N
2016-06-02,180.9103503,N
2016-06-03,175.8546299,N
2016-06-04,126.7499719,N
2016-06-05,122.7887776,N
2016-06-06,107.4456121,N
2016-06-07,88.32696291,N
2016-06-08,91.3156602,N
2016-06-09,50.23897194,N
2016-06-10,47.42579878,N
2016-06-11,55.59096958,N
2016-06-12,77.21528799,N
2016-06-13,95.06477463,Y
2016-06-14,90.84510926,N
2016-06-15,92.41624585,N
2016-06-16,89.92914895,N
2016-06-17,99.57367451,N
2016-06-18,62.93401613,N
2016-06-19,79.38482177,N
2016-06-20,114.875078,N
2016-06-21,62.15476411,N
2016-06-22,58.75903858,N
2016-06-23,78.31898019,N
2016-06-24,67.9384962,N
2016-06-25,99.7632508,N
2016-06-26,120.4411006,N
2016-06-27,127.3466076,N
2016-06-28,110.2803903,N
2016-06-29,80.12524308,N
2016-06-30,115.1178955,N
2016-07-01,117.7120479,N
2016-07-02,90.45652378,N
2016-07-03,68.59708917,N
2016-07-04,124.1368856,N
2016-07-05,147.1876919,N
2016-07-06,116.6821116,N
2016-07-07,176.9120362,N
2016-07-08,114.844203,N
2016-07-09,105.5485761,N
2016-07-10,36.16721233,N
2016-07-11,44.85808004,N
2016-07-12,49.15948572,N
2016-07-13,65.91496492,N
2016-07-14,76.11745262,N
2016-07-15,79.50760048,N
2016-07-16,73.69441877,N
2016-07-17,48.7884053,N
2016-07-18,43.8915187,N
2016-07-19,49.45378979,N
2016-07-20,52.33155194,N
2016-07-21,44.92653284,N
2016-07-22,21.09171887,N
2016-07-23,62.70928693,N
2016-07-24,52.22700853,N
2016-07-25,37.98018661,N
2016-07-26,47.97124596,N
2016-07-27,36.39746278,N
2016-07-28,41.56189875,N
2016-07-29,33.86968192,N
2016-07-30,24.84952843,N
2016-07-31,33.77825209,N
2016-08-01,45.97912937,N
2016-08-02,48.59799058,N
2016-08-03,58.02954936,N
2016-08-04,51.56528219,N
2016-08-05,70.2031165,N
2016-08-06,54.3980783,N
2016-08-07,32.88478992,N
2016-08-08,35.11782073,N
2016-08-09,29.29351974,N
2016-08-10,22.41944079,N
2016-08-11,39.80646362,N
2016-08-12,41.09220007,N
2016-08-13,38.81095608,N
2016-08-14,33.06116,N
2016-08-15,39.83893843,N
2016-08-16,24.45390447,N
2016-08-17,40.89160699,N
2016-08-18,27.47109329,N
2016-08-19,27.60134081,N
2016-08-20,25.00246694,N
2016-08-21,38.91325563,N
2016-08-22,59.99534067,N
2016-08-23,73.18959371,N
2016-08-24,114.0039598,N
2016-08-25,74.66305514,N
2016-08-26,67.6277533,N
2016-08-27,31.80817961,N
2016-08-28,29.44768103,N
2016-08-29,39.1423789,N
2016-08-30,53.186931,N
2016-08-31,32.5590174,N
2016-09-01,46.80878786,N
2016-09-02,52.63679288,N
2016-09-03,35.27078286,N
2016-09-04,24.51210764,N
2016-09-05,38.21246963,N
2016-09-06,28.69264595,N
2016-09-07,24.18242139,N
2016-09-08,12.50431916,N
2016-09-09,23.40099927,N
2016-09-10,38.55990885,N
2016-09-11,50.34788201,N
2016-09-12,68.17720324,N
2016-09-13,62.06847556,N
2016-09-14,54.8405242,N
2016-09-15,42.81991758,N
2016-09-16,47.04374731,N
2016-09-17,36.02869126,N
2016-09-18,48.34486635,N
2016-09-19,56.44254935,N
2016-09-20,43.17737957,N
2016-09-21,52.28283459,N
2016-09-22,55.70187271,N
2016-09-23,46.53870327,N
2016-09-24,43.55659982,N
2016-09-25,37.69847947,N
2016-09-26,47.67147027,N
2016-09-27,49.79450443,N
2016-09-28,32.43171472,N
2016-09-29,37.59600105,N
2016-09-30,33.06369262,Y
2016-10-01,20.48609587,N
2016-10-02,13.65687019,N
2016-10-03,21.60174363,N
2016-10-04,23.00178132,N
2016-10-05,41.11513272,N
2016-10-06,30.1895728,N
2016-10-07,37.3391043,N
2016-10-08,35.21034382,N
2016-10-09,15.90301462,N
2016-10-10,27.65471777,N
2016-10-11,38.19994573,N
2016-10-12,44.77064554,N
2016-10-13,58.35308518,N
2016-10-14,43.9665066,N
2016-10-15,12.69832874,N
2016-10-16,22.02909542,N
2016-10-17,29.59668164,N
2016-10-18,36.72121271,N
2016-10-19,60.68302782,N
2016-10-20,27.42582623,N
2016-10-21,43.24473226,N
2016-10-22,38.71113076,N
2016-10-23,40.91855691,N
2016-10-24,66.51336615,N
2016-10-25,37.02214641,N
2016-10-26,55.41635284,N
2016-10-27,43.4805405,N
2016-10-28,54.50974512,N
2016-10-29,21.28564824,N
2016-10-30,6.869134505,N
2016-10-31,19.08090112,N
2016-11-01,17.41820196,Y
2016-11-02,46.64566901,N
2016-11-03,60.22104759,N
2016-11-04,25.9523502,N
2016-11-05,15.26468717,N
2016-11-06,24.15876196,N
2016-11-07,30.36705791,N
2016-11-08,53.92200303,N
2016-11-09,55.66220339,N
2016-11-10,48.70697146,N
2016-11-11,26.82398291,N
2016-11-12,10.83211626,N
2016-11-13,10.72564183,N
2016-11-14,39.49973783,N
2016-11-15,26.90838749,N
2016-11-16,35.63068442,N
2016-11-17,28.55507656,N
2016-11-18,31.77579932,N
2016-11-19,24.65599304,N
2016-11-20,43.08594969,N
2016-11-21,51.0352654,N
2016-11-22,37.02129178,N
2016-11-23,41.91226779,N
2016-11-24,38.05940327,N
2016-11-25,27.61649096,N
2016-11-26,23.79058297,N
