1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021
167,168.2,168.3,169,169.2,168.9,169.2,168.8,168.4,170.2,170.5,170,170.4,170.6,171.8,171.2,171.3,171.8,171.4,172.3,172.6,172.6,172.5,172.7,173.6,172.7,173.8,173.7,174.4,173.6,174.6,173.9,174.2,174.2,174.3,173.9,173.9,173.2,173.9,173.4,173.7,174.1,173.9,174.2,174.4,173.7
