date,demand,RRP,school_day,holiday
2015-05-21,135361.195,35.62199843,Y,N
2015-05-22,133422.46,34.61410533,Y,N
2015-05-23,119331.85,31.22698432,Y,N
2015-05-24,118783.085,31.49325856,Y,N
2015-05-25,136690.92,51.61033015,Y,N
2015-05-26,140886.995,46.40181363,Y,N
2015-05-27,133103.37,29.88407137,Y,N
2015-05-28,127900.235,26.09688903,Y,N
2015-05-29,132338.94,29.80358005,Y,N
2015-05-30,114669.79,19.04882579,Y,N
2015-05-31,113261.26,18.57271408,Y,N
2015-06-01,140919.995,36.92812664,Y,N
2015-06-02,148534.505,59.85603338,Y,N
2015-06-03,146902.95,50.5626836,Y,N
2015-06-04,147155.265,33.05028479,Y,N
2015-06-05,142625.035,37.96653889,Y,N
2015-06-06,120128.295,30.18134685,Y,N
2015-06-07,109609.685,23.38038485,Y,N
2015-06-08,110715.815,24.3576365,Y,Y
2015-06-09,132854.135,36.71427512,Y,N
2015-06-10,144125.525,39.76613747,Y,N
2015-06-11,143465.445,37.48182938,Y,N
2015-06-12,145005.62,37.53937282,Y,N
2015-06-13,123754.55,29.86858815,Y,N
2015-06-14,119125.62,31.59818231,Y,N
2015-06-15,136054.145,36.01098153,Y,N
2015-06-16,139073.785,36.94281938,Y,N
2015-06-17,134290.46,39.27859913,Y,N
2015-06-18,137073.775,37.45776352,Y,N
2015-06-19,139781.245,38.55071374,Y,N
2015-06-20,129576.36,41.09768311,Y,N
2015-06-21,124910.57,33.90238984,Y,N
2015-06-22,140431.36,30.47783118,Y,N
2015-06-23,133171.4,30.2380616,Y,N
2015-06-24,135407.57,32.21777895,Y,N
2015-06-25,137379.23,33.05483817,Y,N
2015-06-26,135562.075,31.92862512,N,N
2015-06-27,124587.43,28.29254035,N,N
2015-06-28,119277.48,31.00149176,N,N
2015-06-29,139468.155,35.77539876,N,N
2015-06-30,143170.055,37.6252582,N,N
2015-07-01,138931,29.52094616,N,N
2015-07-02,138972.425,35.6183138,N,N
2015-07-03,145713.81,42.62957624,N,N
2015-07-04,130073.27,29.12782527,N,N
2015-07-05,117312.925,24.00328983,N,N
2015-07-06,143176.335,36.04178884,N,N
2015-07-07,143984.39,37.29751745,N,N
2015-07-08,141696.295,40.58380685,N,N
2015-07-09,141994.375,38.51727354,N,N
2015-07-10,136884.095,32.28845537,N,N
2015-07-11,123971.705,30.62181991,N,N
2015-07-12,124790.695,33.15211905,N,N
2015-07-13,138680.335,47.52630153,N,N
2015-07-14,150671.105,45.25558281,Y,N
2015-07-15,151270.54,50.4974182,Y,N
2015-07-16,144797.98,40.47170764,Y,N
2015-07-17,142965.48,49.21850696,Y,N
2015-07-18,130187.445,44.09776708,Y,N
2015-07-19,131141.355,43.57342248,Y,N
2015-07-20,146154.37,41.79671269,Y,N
2015-07-21,138931.81,28.89548968,Y,N
2015-07-22,138418.835,33.70727752,Y,N
2015-07-23,142316.295,33.97518484,Y,N
2015-07-24,136837.155,27.6698245,Y,N
2015-07-25,121021.425,22.2391885,Y,N
2015-07-26,120396.735,22.38424622,Y,N
2015-07-27,142470.43,35.17621745,Y,N
2015-07-28,144008.37,40.75298793,Y,N
2015-07-29,142637.76,37.23752124,Y,N
2015-07-30,143544.11,29.12283736,Y,N
2015-07-31,139584.955,35.05977109,Y,N
2015-08-01,125032.57,29.88013959,Y,N
2015-08-02,117638.065,23.37418658,Y,N
2015-08-03,141451.725,38.12797815,Y,N
2015-08-04,147550.185,44.67333638,Y,N
2015-08-05,142325.99,42.5957224,Y,N
2015-08-06,143642.355,48.94517285,Y,N
2015-08-07,143060.33,42.78284919,Y,N
2015-08-08,125830.535,39.11605998,Y,N
2015-08-09,120008.455,29.44132945,Y,N
2015-08-10,130978.095,30.09105237,Y,N
2015-08-11,135616.125,31.94331353,Y,N
2015-08-12,138900.5,37.33841387,Y,N
2015-08-13,140905.85,36.73054058,Y,N
2015-08-14,137838.925,35.43773739,Y,N
2015-08-15,122088.76,34.08615436,Y,N
2015-08-16,116648.77,25.31764941,Y,N
2015-08-17,137008.71,31.79373023,Y,N
2015-08-18,148093.96,45.28668706,Y,N
2015-08-19,144024.66,39.23515304,Y,N
2015-08-20,131575.79,30.54500061,Y,N
2015-08-21,126570.47,38.88847204,Y,N
2015-08-22,112275.15,32.23832167,Y,N
2015-08-23,111793.015,29.44134872,Y,N
2015-08-24,128868.255,26.61266289,Y,N
2015-08-25,135051.545,28.80467771,Y,N
2015-08-26,135914.68,37.13177468,Y,N
2015-08-27,141159.77,41.60533545,Y,N
2015-08-28,134755.505,38.17912007,Y,N
2015-08-29,124448.5,35.47451361,Y,N
2015-08-30,116744.215,42.41417956,Y,N
2015-08-31,137724.895,50.27328749,Y,N
2015-09-01,134116.77,50.14578439,Y,N
2015-09-02,132794.715,49.03831254,Y,N
2015-09-03,132096.335,45.54626467,Y,N
2015-09-04,131384.88,65.73690671,Y,N
2015-09-05,115799.32,57.1775692,Y,N
2015-09-06,109641.375,40.58176552,Y,N
2015-09-07,131619.365,38.52697878,Y,N
2015-09-08,136340.7,41.71038161,Y,N
2015-09-09,132977.45,48.12810484,Y,N
2015-09-10,133541.98,48.91956662,Y,N
2015-09-11,123968.9,36.08846518,Y,N
2015-09-12,108790.005,37.65455156,Y,N
2015-09-13,99161.765,30.35960587,Y,N
2015-09-14,116574.17,32.34565421,Y,N
2015-09-15,123750.5,34.50652241,Y,N
2015-09-16,131795.485,38.96606247,Y,N
2015-09-17,131050.675,40.63926437,Y,N
2015-09-18,130764.585,40.63008102,N,N
2015-09-19,112377.185,47.82671203,N,N
2015-09-20,103708.925,32.85772784,N,N
2015-09-21,120096.71,44.95597741,N,N
2015-09-22,127755.095,99.47616671,N,N
2015-09-23,131866.73,49.76861067,N,N
2015-09-24,130937.625,54.98052681,N,N
2015-09-25,124278.93,51.08100179,N,N
2015-09-26,111064.49,48.78936994,N,N
2015-09-27,106431.815,43.93161371,N,N
2015-09-28,121796.715,42.02601538,N,N
2015-09-29,126691.8,37.64010125,N,N
2015-09-30,129641.245,41.98096898,N,N
