date,demand,RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-03-28,112187.715,29.27136869,12.7,19.1,14.4,0,N,N
2015-03-29,106418.665,24.67271635,8.5,22.7,18.6,0,N,N
2015-03-30,123061.87,33.7503627,10.6,23.1,18.1,0,N,N
2015-03-31,125795.325,31.83656958,11.2,25.3,18.1,0,N,N
2015-04-01,122042.265,26.16780586,13.3,29,10.7,0,N,N
2015-04-02,113838.41,23.46025058,12.8,17.2,17.5,0.2,N,N
2015-04-03,98891.06,20.9393785,8,20.9,17.4,0,N,Y
2015-04-04,103999.17,23.18805617,8.5,23.5,16.2,0,N,Y
2015-04-05,103685.45,20.50865038,10.2,18.5,9.8,0,N,N
2015-04-06,107383.37,17.04855264,11.2,18.4,13,0,N,Y
2015-04-07,120235.505,21.35945999,12.4,17.3,3.9,0,N,N
2015-04-08,122129.775,25.20801652,13.3,17.7,12.6,5.6,N,N
2015-04-09,123990.76,25.20780037,8.7,19.1,10.9,0,N,N
2015-04-10,121753.115,25.6771108,8.6,18.7,15.9,0,N,N
2015-04-11,110034.165,23.05591231,11.6,23.7,14.9,0,N,N
2015-04-12,103760.225,22.05303719,12.1,18.3,13.4,0,N,N
2015-04-13,125107.78,29.40828908,7.3,19.1,14.9,0,N,N
2015-04-14,127793.38,30.99517563,10.5,24.7,8.4,1.6,Y,N
2015-04-15,126673.935,31.09055848,13.9,27.6,12.8,2.4,Y,N
2015-04-16,126937.94,40.68150885,15.6,17.8,10.9,0,Y,N
2015-04-17,131031.415,33.98750482,10.1,17.1,7.5,0,Y,N
2015-04-18,109763.985,26.14012894,13.5,21.9,9.9,3.6,Y,N
2015-04-19,107160.54,24.54069444,9.7,14.7,11,6.4,Y,N
2015-04-20,126696.19,33.67717583,7,16.2,12.7,1.4,Y,N
2015-04-21,127973.585,30.4731569,6.5,17.7,13.8,0,Y,N
2015-04-22,128598.495,36.69528357,9.1,19.5,7.1,0,Y,N
2015-04-23,126483.805,35.42248474,12.2,19.2,7.5,0,Y,N
2015-04-24,126230.785,36.4979363,14.4,21.1,7.8,0,Y,N
2015-04-25,111803.625,25.97830858,11.6,15,3.5,3,Y,Y
2015-04-26,108217.82,28.95541976,10.4,15.4,5.9,7,Y,N
2015-04-27,127855.22,48.67306836,10.5,15.1,8.3,4,Y,N
2015-04-28,132642.14,46.2680344,10.1,16,8.9,1.6,Y,N
2015-04-29,132814.615,39.82982089,7.4,17.1,12.6,0,Y,N
2015-04-30,132669.58,39.09265231,6.4,19.6,12.3,0,Y,N
2015-05-01,126304.445,47.4744621,7.9,23.1,12.1,0,Y,N
2015-05-02,108487.975,25.8520399,11.6,22.2,6.1,0,Y,N
2015-05-03,109233.34,30.62706307,9.7,18.2,11.2,0,Y,N
2015-05-04,122375.47,28.80303794,7.5,22.3,11.6,0,Y,N
2015-05-05,123734.865,27.38334397,9.2,18.1,7.1,0.6,Y,N
2015-05-06,129121.86,26.02258938,9.5,16.2,7.6,1.4,Y,N
2015-05-07,131237.185,29.08203003,10.3,15.6,6.9,2.2,Y,N
2015-05-08,131138.73,29.07560905,10.5,15.9,5.9,0.2,Y,N
2015-05-09,108377.05,19.60236047,12.8,18.7,7.3,0,Y,N
2015-05-10,103811.28,13.27984076,12.8,16.6,5.9,8.6,Y,N
2015-05-11,123740.245,28.47548938,12.4,15.9,7.9,2.6,Y,N
2015-05-12,129312.58,28.35535897,12.8,17.4,5.9,0,Y,N
2015-05-13,136903.27,33.6029018,6.3,12.8,8.7,6.8,Y,N
2015-05-14,135217.65,36.08497609,7.3,14.6,6.7,4.4,Y,N
2015-05-15,135172.41,32.88820189,11.5,14.5,6.2,1.8,Y,N
