date,demand,school_day,holiday
2015-07-10,136884.095,N,N
2015-07-11,123971.705,N,N
2015-07-12,124790.695,N,N
2015-07-13,138680.335,N,N
2015-07-14,150671.105,Y,N
2015-07-15,151270.54,Y,N
2015-07-16,144797.98,Y,N
2015-07-17,142965.48,Y,N
2015-07-18,130187.445,Y,N
2015-07-19,131141.355,Y,N
2015-07-20,146154.37,Y,N
2015-07-21,138931.81,Y,N
2015-07-22,138418.835,Y,N
2015-07-23,142316.295,Y,N
2015-07-24,136837.155,Y,N
2015-07-25,121021.425,Y,N
2015-07-26,120396.735,Y,N
2015-07-27,142470.43,Y,N
2015-07-28,144008.37,Y,N
2015-07-29,142637.76,Y,N
2015-07-30,143544.11,Y,N
2015-07-31,139584.955,Y,N
2015-08-01,125032.57,Y,N
2015-08-02,117638.065,Y,N
2015-08-03,141451.725,Y,N
2015-08-04,147550.185,Y,N
2015-08-05,142325.99,Y,N
2015-08-06,143642.355,Y,N
2015-08-07,143060.33,Y,N
2015-08-08,125830.535,Y,N
2015-08-09,120008.455,Y,N
2015-08-10,130978.095,Y,N
2015-08-11,135616.125,Y,N
2015-08-12,138900.5,Y,N
2015-08-13,140905.85,Y,N
2015-08-14,137838.925,Y,N
2015-08-15,122088.76,Y,N
2015-08-16,116648.77,Y,N
2015-08-17,137008.71,Y,N
2015-08-18,148093.96,Y,N
2015-08-19,144024.66,Y,N
2015-08-20,131575.79,Y,N
2015-08-21,126570.47,Y,N
2015-08-22,112275.15,Y,N
2015-08-23,111793.015,Y,N
2015-08-24,128868.255,Y,N
2015-08-25,135051.545,Y,N
2015-08-26,135914.68,Y,N
2015-08-27,141159.77,Y,N
2015-08-28,134755.505,Y,N
2015-08-29,124448.5,Y,N
2015-08-30,116744.215,Y,N
2015-08-31,137724.895,Y,N
2015-09-01,134116.77,Y,N
2015-09-02,132794.715,Y,N
2015-09-03,132096.335,Y,N
2015-09-04,131384.88,Y,N
2015-09-05,115799.32,Y,N
2015-09-06,109641.375,Y,N
2015-09-07,131619.365,Y,N
2015-09-08,136340.7,Y,N
2015-09-09,132977.45,Y,N
2015-09-10,133541.98,Y,N
2015-09-11,123968.9,Y,N
2015-09-12,108790.005,Y,N
2015-09-13,99161.765,Y,N
2015-09-14,116574.17,Y,N
2015-09-15,123750.5,Y,N
2015-09-16,131795.485,Y,N
2015-09-17,131050.675,Y,N
2015-09-18,130764.585,N,N
2015-09-19,112377.185,N,N
2015-09-20,103708.925,N,N
2015-09-21,120096.71,N,N
2015-09-22,127755.095,N,N
2015-09-23,131866.73,N,N
2015-09-24,130937.625,N,N
2015-09-25,124278.93,N,N
2015-09-26,111064.49,N,N
2015-09-27,106431.815,N,N
2015-09-28,121796.715,N,N
2015-09-29,126691.8,N,N
2015-09-30,129641.245,N,N
2015-10-01,124356.415,N,N
2015-10-02,107544.145,N,Y
2015-10-03,100598.55,N,N
2015-10-04,103828.88,N,N
2015-10-05,125194.87,N,N
2015-10-06,127225.245,Y,N
2015-10-07,117282.765,Y,N
2015-10-08,122121.325,Y,N
2015-10-09,126989.905,Y,N
2015-10-10,112604.825,Y,N
2015-10-11,105376.335,Y,N
2015-10-12,120916.215,Y,N
2015-10-13,122830.38,Y,N
2015-10-14,126919.195,Y,N
2015-10-15,130260.37,Y,N
2015-10-16,123985.97,Y,N
2015-10-17,104916.345,Y,N
2015-10-18,100812.04,Y,N
2015-10-19,120795,Y,N
2015-10-20,126655.49,Y,N
2015-10-21,122368.885,Y,N
2015-10-22,121471.64,Y,N
2015-10-23,120420.7,Y,N
2015-10-24,106813.03,Y,N
2015-10-25,102279.745,Y,N
2015-10-26,115297.34,Y,N
2015-10-27,116619.57,Y,N
2015-10-28,122887.41,Y,N
2015-10-29,124222.935,Y,N
2015-10-30,121256.97,Y,N
2015-10-31,106353.44,Y,N
2015-11-01,103629.645,Y,N
2015-11-02,113791.75,Y,N
2015-11-03,101793.035,Y,Y
2015-11-04,120177.945,Y,N
2015-11-05,125985.465,Y,N
2015-11-06,120505.585,Y,N
2015-11-07,104269.79,Y,N
2015-11-08,103793.085,Y,N
2015-11-09,127234.72,Y,N
2015-11-10,121617.28,Y,N
2015-11-11,121566.645,Y,N
2015-11-12,123775.16,Y,N
2015-11-13,117078.585,Y,N
2015-11-14,103646.635,Y,N
2015-11-15,99761.81,Y,N
2015-11-16,124557.225,Y,N
2015-11-17,131442.2,Y,N
2015-11-18,132353.755,Y,N
2015-11-19,138118.705,Y,N
2015-11-20,123412.685,Y,N
2015-11-21,102647.905,Y,N
2015-11-22,98621.62,Y,N
2015-11-23,114406.825,Y,N
2015-11-24,118894.305,Y,N
2015-11-25,124728.875,Y,N
2015-11-26,112907.145,Y,N
2015-11-27,117492.82,Y,N
2015-11-28,105011.195,Y,N
2015-11-29,102162.53,Y,N
2015-11-30,122452.415,Y,N
2015-12-01,117115.62,Y,N
2015-12-02,115230.125,Y,N
2015-12-03,121699.425,Y,N
2015-12-04,129148.52,Y,N
2015-12-05,115606.005,Y,N
2015-12-06,112025.29,Y,N
2015-12-07,129059.645,Y,N
2015-12-08,136800.91,Y,N
2015-12-09,125965.02,Y,N
2015-12-10,125807.495,Y,N
2015-12-11,116597.81,Y,N
2015-12-12,106139.41,Y,N
2015-12-13,105218.515,Y,N
2015-12-14,125784.96,Y,N
2015-12-15,129077.41,Y,N
